time,density1,density2,density3,density4,density5,density6,density7
2235.000000, 0.000000, 3.105590, 25.641026, 3.460208, 0.000000, 6.125574, 8.264463
2250.000000, 0.000000, 6.211180, 3.663004, 34.602076, 14.388489, 6.125574, 8.264463
2265.000000, 11.494253, 9.316770, 3.663004, 3.460208, 50.359712, 4.594181, 4.958678
2280.000000, 0.000000, 12.422360, 7.326007, 0.000000, 71.942446, 1.531394, 0.000000
2295.000000, 22.988506, 15.527950, 3.663004, 0.000000, 79.136691, 1.531394, 1.652893
2310.000000, 11.494253, 9.316770, 21.978022, 3.460208, 79.136691, 1.531394, 3.305785
2325.000000, 0.000000, 6.211180, 21.978022, 3.460208, 21.582734, 13.782542, 8.264463
2340.000000, 0.000000, 3.105590, 18.315018, 0.000000, 7.194245, 27.565084, 4.958678
2355.000000, 0.000000, 9.316770, 7.326007, 24.221453, 7.194245, 21.439510, 11.570248
2370.000000, 0.000000, 6.211180, 3.663004, 3.460208, 21.582734, 12.251149, 19.834711
2385.000000, 11.494253, 6.211180, 3.663004, 0.000000, 7.194245, 21.439510, 14.876033
2400.000000, 11.494253, 6.211180, 3.663004, 0.000000, 21.582734, 16.845329, 8.264463
2415.000000, 0.000000, 18.633540, 7.326007, 3.460208, 21.582734, 13.782542, 8.264463
2430.000000, 0.000000, 9.316770, 32.967033, 3.460208, 28.776978, 10.719755, 3.305785
2445.000000, 0.000000, 15.527950, 10.989011, 20.761246, 43.165468, 13.782542, 0.000000
2460.000000, 22.988506, 12.422360, 7.326007, 6.920415, 64.748201, 13.782542, 1.652893
2475.000000, 0.000000, 15.527950, 3.663004, 10.380623, 21.582734, 19.908116, 11.570248
2490.000000, 22.988506, 12.422360, 3.663004, 0.000000, 21.582734, 29.096478, 13.223140
2505.000000, 0.000000, 12.422360, 10.989011, 3.460208, 7.194245, 26.033691, 9.917355
2520.000000, 0.000000, 12.422360, 18.315018, 3.460208, 7.194245, 10.719755, 19.834711
2535.000000, 11.494253, 6.211180, 29.304029, 3.460208, 0.000000, 7.656968, 18.181818
2550.000000, 0.000000, 3.105590, 10.989011, 34.602076, 7.194245, 6.125574, 6.611570
2565.000000, 0.000000, 12.422360, 7.326007, 3.460208, 50.359712, 6.125574, 4.958678
2580.000000, 0.000000, 9.316770, 7.326007, 0.000000, 64.748201, 7.656968, 1.652893
2595.000000, 11.494253, 9.316770, 3.663004, 3.460208, 71.942446, 6.125574, 3.305785
2610.000000, 0.000000, 15.527950, 18.315018, 3.460208, 93.525180, 3.062787, 3.305785
2625.000000, 0.000000, 3.105590, 18.315018, 3.460208, 35.971223, 15.313936, 13.223140
2640.000000, 0.000000, 6.211180, 18.315018, 0.000000, 14.388489, 33.690658, 6.611570
2655.000000, 0.000000, 15.527950, 0.000000, 24.221453, 0.000000, 26.033691, 9.917355
2670.000000, 0.000000, 18.633540, 3.663004, 0.000000, 21.582734, 9.188361, 29.752066
2685.000000, 11.494253, 15.527950, 7.326007, 0.000000, 0.000000, 27.565084, 16.528926
2700.000000, 11.494253, 12.422360, 3.663004, 3.460208, 21.582734, 26.033691, 9.917355
2715.000000, 0.000000, 15.527950, 21.978022, 3.460208, 14.388489, 15.313936, 0.000000
2730.000000, 11.494253, 3.105590, 32.967033, 3.460208, 14.388489, 15.313936, 0.000000
2745.000000, 11.494253, 6.211180, 10.989011, 17.301038, 21.582734, 15.313936, 0.000000
2760.000000, 34.482759, 18.633540, 7.326007, 13.840830, 43.165468, 15.313936, 0.000000
2775.000000, 22.988506, 24.844720, 3.663004, 0.000000, 21.582734, 18.376723, 13.223140
2790.000000, 34.482759, 24.844720, 3.663004, 3.460208, 0.000000, 26.033691, 21.487603
2805.000000, 0.000000, 18.633540, 18.315018, 3.460208, 7.194245, 16.845329, 8.264463
2820.000000, 22.988506, 12.422360, 25.641026, 3.460208, 7.194245, 3.062787, 18.181818
2835.000000, 11.494253, 18.633540, 36.630037, 3.460208, 7.194245, 7.656968, 19.834711
2850.000000, 0.000000, 12.422360, 25.641026, 17.301038, 14.388489, 9.188361, 4.958678
